area,area_type,district_code,house_number,legal_description,locality,nature_of_property,postcode,primary_purpose,property_id,property_name,strata_lot_number,street_name,unit_number,zoning
,,139,3,6/SP60883,ABBOTSFORD,R,2046,RESIDENCE,1898102,,6,BLACKWALL POINT RD,6,
,,139,1,1/SP56102,ABBOTSFORD,R,2046,RESIDENCE,1898127,,1,BLACKWALL POINT RD,1,
,,139,1,12/SP5640,CHISWICK,R,2046,RESIDENCE,1898164,,12,BORTFIELD DR,12,
,,139,3,3/SP4166,CHISWICK,R,2046,RESIDENCE,1898193,,3,BORTFIELD DR,3,
,,139,5,10/SP3008,CHISWICK,R,2046,RESIDENCE,1898218,,10,BORTFIELD DR,10,
,,139,7,22/SP3782,CHISWICK,R,2046,RESIDENCE,1898231,,22,BORTFIELD DR,22,
,,139,9,15/SP5332,CHISWICK,R,2046,RESIDENCE,1898279,,15,BORTFIELD DR,15,
,,139,11,3/SP4843,CHISWICK,R,2046,RESIDENCE,1898297,,3,BORTFIELD DR,3,
,,139,13,9/SP5616,CHISWICK,R,2046,RESIDENCE,1898319,,9,BORTFIELD DR,9,
,,139,19,5/SP11453,CHISWICK,R,2046,RESIDENCE,1898342,,5,BORTFIELD DR,5,
,,139,14,7/SP7314,CHISWICK,R,2046,RESIDENCE,1898358,,7,BORTFIELD DR,7,
,,139,12,5/SP7367,CHISWICK,R,2046,RESIDENCE,1898377,,5,BORTFIELD DR,5,
,,139,10,16/SP42975,CHISWICK,R,2046,RESIDENCE,1898396,,16,BORTFIELD DR,7,
,,139,8,1/SP6731,CHISWICK,R,2046,RESIDENCE,1898412,,1,BORTFIELD DR,1,
,,139,6,5/SP5327,CHISWICK,R,2046,RESIDENCE,1898451,,5,BORTFIELD DR,5,
,,139,4,10/SP5054,CHISWICK,R,2046,RESIDENCE,1898467,,10,BORTFIELD DR,10,
,,139,2,15/SP6677,CHISWICK,R,2046,RESIDENCE,1898480,,15,BORTFIELD DR,15,
